index,theta,thetaVelocity,thetaAcceleration,phi,phiVelocity,phiAcceleration,x,y,z
0.000,0.784020,-0.045920,-0.917901,0.539307,0.314168,0.000289,6.059069,3.626280,-7.080804
0.010,0.780349,-0.091735,-0.914940,0.555016,0.314191,0.000582,5.979225,3.707287,-7.106679
0.020,0.774393,-0.137338,-0.909849,0.570727,0.314229,0.000882,5.884523,3.777830,-7.148454
0.030,0.766166,-0.182622,-0.902607,0.586440,0.314283,0.001193,5.775258,3.837147,-7.205741
0.040,0.755688,-0.227478,-0.893183,0.602156,0.314352,0.001518,5.651703,3.884451,-7.278001
0.050,0.742982,-0.271797,-0.881539,0.617876,0.314438,0.001861,5.514118,3.918923,-7.364546
0.060,0.728079,-0.315466,-0.867633,0.633601,0.314542,0.002226,5.362763,3.939723,-7.464540
0.070,0.711015,-0.358370,-0.851419,0.649332,0.314665,0.002618,5.197910,3.945994,-7.576996
0.080,0.691832,-0.400394,-0.832848,0.665069,0.314808,0.003043,5.019859,3.936871,-7.700783
0.090,0.670578,-0.441417,-0.811874,0.680814,0.314974,0.003505,4.828955,3.911497,-7.834627
0.100,0.647305,-0.481318,-0.788454,0.696569,0.315165,0.004013,4.625600,3.869034,-7.977117
0.110,0.622074,-0.519973,-0.762550,0.712333,0.315382,0.004573,4.410269,3.808681,-8.126714
0.120,0.594952,-0.557258,-0.734133,0.728110,0.315629,0.005197,4.183526,3.729693,-8.281757
0.130,0.566009,-0.593047,-0.703189,0.743899,0.315909,0.005896,3.946037,3.631401,-8.440481
0.140,0.535325,-0.627212,-0.669715,0.759704,0.316228,0.006687,3.698575,3.513234,-8.601031
0.150,0.502984,-0.659628,-0.633728,0.775526,0.316588,0.007589,3.442037,3.374740,-8.761479
0.160,0.469079,-0.690171,-0.595264,0.791368,0.316999,0.008631,3.177442,3.215606,-8.919851
0.170,0.433706,-0.718717,-0.554383,0.807231,0.317466,0.009851,2.905939,3.035684,-9.074147
0.180,0.396968,-0.745149,-0.511165,0.823120,0.318001,0.011301,2.628798,2.835003,-9.222374
0.190,0.358976,-0.769352,-0.465721,0.839039,0.318617,0.013060,2.347413,2.613790,-9.362572
0.200,0.319842,-0.791220,-0.418183,0.854991,0.319334,0.015249,2.063285,2.372480,-9.492850
0.210,0.279689,-0.810653,-0.368712,0.870982,0.320178,0.018063,1.778011,2.111725,-9.611415
0.220,0.238638,-0.827558,-0.317492,0.887020,0.321189,0.021837,1.493270,1.832400,-9.716607
0.230,0.196821,-0.841856,-0.264735,0.903116,0.322434,0.027203,1.210796,1.535598,-9.806932
0.240,0.154369,-0.853475,-0.210672,0.919284,0.324027,0.035506,0.932363,1.222621,-9.881088
0.250,0.111417,-0.862359,-0.155553,0.935547,0.326205,0.050209,0.659760,0.894972,-9.937995
0.260,0.068105,-0.868462,-0.099646,0.951952,0.329589,0.083714,0.394769,0.554322,-9.976817
0.270,0.024572,-0.871753,-0.043231,0.968625,0.337178,0.237511,0.139171,0.202480,-9.996981
0.280,-0.019041,-0.872216,0.013404,0.984724,0.302971,-0.280101,-0.105307,-0.158623,-9.998187
0.290,-0.062592,-0.869848,0.069980,0.999657,0.296686,-0.082583,-0.338145,-0.526232,-9.980418
0.300,-0.105940,-0.864660,0.126198,1.014398,0.293745,-0.047848,-0.558456,-0.897920,-9.943936
0.310,-0.148945,-0.856680,0.181774,1.029025,0.291827,-0.033359,-0.765203,-1.271438,-9.889283
0.320,-0.191467,-0.845947,0.236433,1.043572,0.290415,-0.025370,-0.957467,-1.644584,-9.817260
0.330,-0.233373,-0.832516,0.289916,1.058059,0.289307,-0.020279,-1.134480,-2.015210,-9.728920
0.340,-0.274527,-0.816452,0.341979,1.072496,0.288404,-0.016731,-1.295636,-2.381258,-9.625536
0.350,-0.314801,-0.797833,0.392402,1.086893,0.287649,-0.014102,-1.440502,-2.740776,-9.508580
0.360,-0.354070,-0.776748,0.440985,1.101256,0.287007,-0.012067,-1.568817,-3.091949,-9.379694
0.370,-0.392213,-0.753293,0.487555,1.115590,0.286454,-0.010437,-1.680485,-3.433112,-9.240655
0.380,-0.429115,-0.727574,0.531965,1.129898,0.285974,-0.009098,-1.775572,-3.762769,-9.093344
0.390,-0.464666,-0.699703,0.574092,1.144183,0.285553,-0.007974,-1.854291,-4.079597,-8.939714
0.400,-0.498762,-0.669796,0.613840,1.158450,0.285184,-0.007015,-1.916990,-4.382454,-8.781756
0.410,-0.531304,-0.637975,0.651140,1.172699,0.284858,-0.006186,-1.964137,-4.670376,-8.621471
0.420,-0.562201,-0.604364,0.685942,1.186933,0.284571,-0.005461,-1.996301,-4.942573,-8.460837
0.430,-0.591368,-0.569089,0.718220,1.201154,0.284318,-0.004820,-2.014136,-5.198419,-8.301789
0.440,-0.618724,-0.532275,0.747967,1.215363,0.284094,-0.004248,-2.018366,-5.437438,-8.146193
0.450,-0.644196,-0.494050,0.775192,1.229562,0.283897,-0.003735,-2.009765,-5.659292,-7.995828
